sID,pID,per,E_per,e_per,rad,E_rad,e_rad,axis,E_axis,e_axis,koi_disposition,koi_pdisposition,reliability,comp,avg_comp,mdwarf_comp,new_comp
8824737,K03347.01,12.90235874,8.403e-05,-8.403e-05,1.6321210102511987,0.0957079829369638,-0.1088213490683649,0.1009137861602746,0.0021554492973907,-0.0016539808327474,CANDIDATE,CANDIDATE,0.9915371023481444,0.0352716159689722,0.0312920592864437,0.0179612819973345,0.03530692939175603
9349757,K03348.01,36.4337867,0.0003777,-0.0003777,2.0589310544487587,0.1221683025656599,-0.1204696987426883,0.2175271290784929,0.0038296238757235,-0.0043835662116531,CONFIRMED,CANDIDATE,0.9950246954286586,0.0190154387072816,0.0163519991561929,0.0087580163486095,0.018956865649776816
9349757,K03348.02,17.7189786,0.0003257,-0.0003257,1.338663397959507,0.11417318555426,-0.1058142611023302,0.1345364801482669,0.0022286952287123,-0.002984755430409,CANDIDATE,CANDIDATE,0.95599131595841,0.0156744384778805,0.0169728659128548,0.0126716129813699,0.015572329887250718
8636333,K03349.01,82.175197,0.001126,-0.001126,2.715326754571742,0.182109413028126,-0.1567713740896503,0.3862945562645899,0.006717648799694,-0.0073968797185619,CONFIRMED,CANDIDATE,0.9964713857367522,0.0114188370666199,0.0098889725685293,0.0047577132336045,0.011421642327081028
8081239,K03352.01,10.35857039,6.258e-05,-6.258e-05,1.3557838341334931,0.0849489551603475,-0.0719472105408933,0.0889570140102622,0.0012865720833298,-0.0017004817445764,CONFIRMED,CANDIDATE,0.997263697579649,0.0374490746451138,0.0304213448436989,0.0198769018761422,0.03730624654257045
7091432,K03353.01,11.55532445,7.61e-05,-7.61e-05,2.060083094355168,0.1060340214584467,-0.4882399512038142,0.0948578452067134,0.0017572439227953,-0.0012637402119658,CONFIRMED,CANDIDATE,0.9992569885962872,0.0465235426428516,0.0409648747455759,0.0217110694507037,0.04635888573363104
9845909,K03354.01,11.5706005,0.0001175,-0.0001175,1.1756610731604875,0.0733384606132439,-0.1075308108397323,0.0949557359362157,0.0012578877402023,-0.0020226433258674,CANDIDATE,CANDIDATE,0.9669730744998004,0.0244236674108968,0.0204689880534498,0.0166173790083529,0.02420858962417488
6368230,K03356.01,26.0841212,0.0005057,-0.0005057,2.226491055403073,0.1809784859423664,-0.1645165836749673,0.1779074109229894,0.0038804205313351,-0.0049988620495173,CONFIRMED,CANDIDATE,0.9972299216184412,0.0297431621136857,0.0224177306562886,0.0116840045901986,0.029665410477221786
4263529,K03358.01,10.10404351,1.043e-05,-1.043e-05,4.065587691522682,0.2616457696896406,-0.8641576124890835,0.0868134455462679,0.0015096550011224,-0.0020034152159788,CANDIDATE,CANDIDATE,0.1899999944769034,0.0431158764035744,0.0499716310650214,0.0276943718504055,0.04296509285471577
6619815,K03361.01,65.9407869,0.0008703,-0.0008703,2.6377987406153123,0.1730187724091227,-0.17019902059066,0.3254602301792596,0.0068180588279157,-0.0077310647812239,CANDIDATE,CANDIDATE,0.9947915086159528,0.013193780447898,0.0118715855121643,0.0057660219637017,0.013155240241388066
11651712,K03363.01,14.53260546,4.381e-05,-4.381e-05,2.1133286046023407,0.0910608377131958,-0.081497364786149,0.1183144885973118,0.0026130290021905,-0.0029514607926942,CONFIRMED,CANDIDATE,0.9992610641371344,0.0434005423737616,0.0345413599038277,0.0182124893517065,0.04326732374360873
11455428,K03365.01,22.1270885,0.0002566,-0.0002566,2.02596506671211,0.1084146160196448,-0.5772729628275974,0.143292261823075,0.0021060566776308,-0.0025205989033858,CONFIRMED,CANDIDATE,0.998162296526396,0.0224593876176254,0.0244330895820577,0.0130001562208396,0.022399001561577533
